CAL_DATE_KEY,DJI_ADJ_CLOSE,GDPC1
198501,1289.09,7469.5
198504,1266.358,7537.9
198507,1343.17,7655.2
198510,1351.58,7712.6
198601,1534.862,7784.1
198604,1807.051,7819.8
198607,1809.918,7898.6
198610,1817.045,7939.5
198701,2065.129,7995
198704,2302.644,8084.7
198707,2481.727,8158
198710,2224.588,8292.7
198801,1947.347,8339.3
198804,2036.133,8449.5
198807,2104.224,8498.3
198810,2144.313,8610.9
198901,2234.677,8697.7
198904,2348.905,8766.1
198907,2554.031,8831.5
198910,2692.008,8850.2
199001,2679.236,8947.1
199004,2708.255,8981.7
199007,2934.228,8983.9
199010,2460.547,8907.4
199101,2587.601,8865.6
199104,2925.54,8934.4
199107,2978.188,8977.3
199110,3019.736,9016.4
199201,3227.059,9123
199204,3294.093,9223.5
199207,3329.409,9313.2
199210,3198.7,9406.5
199301,3277.727,9424.1
199304,3423.625,9480.1
199307,3529.433,9526.3
199310,3625.809,9653.5
199401,3868.365,9748.2
199404,3661.485,9881.4
199407,3718.3,9939.7
199410,3868.099,10052.5
199501,3872.457,10086.9
199504,4230.66,10122.1
199507,4684.758,10208.8
199510,4760.458,10281.2
199601,5179.375,10348.7
199604,5579.864,10529.4
199607,5496.263,10626.8
199610,5996.21,10739.1
199701,6707.03,10820.9
199704,6657.49,10984.2
199707,7990.647,11124
199710,7875.817,11210.3
199801,7808.348,11321.2
199804,9037.439,11431
199807,9097.137,11580.6
199810,8164.472,11770.7
199901,9345.857,11864.7
199904,10443.499,11962.5
199907,11052.217,12113.1
199910,10396.883,12323.3
200001,11281.263,12359.1
200004,10944.31,12592.5
200007,10662.963,12607.7
200010,10440.964,12679.3
200101,10682.741,12643.3
200104,10234.516,12710.3
200107,10444.5,12670.1
200110,9220.751,12705.3
200201,9923.802,12822.3
200204,10165.183,12893
200207,8616.523,12955.8
200210,8048.122,12964
200301,8474.586,13031.2
200304,8332.086,13152.1
200307,9154.395,13372.4
200310,9682.459,13528.7
200401,10540.047,13606.5
200404,10418.404,13706.2
200407,10152.088,13830.8
200410,10001.602,13950.4
200501,10539.513,14099.1
200504,10283.186,14172.7
200507,10545.376,14291.8
200510,10324.313,14373.4
200601,10872.482,14546.1
200604,11234.675,14589.6
200607,11032.526,14602.6
200610,11963.115,14716.9
200701,12512.891,14726
200704,12754.804,14838.7
200707,13677.895,14938.5
200710,13901.28,14991.8
200801,12538.122,14889.5
200804,12656.773,14963.4
200807,11322.375,14891.6
200810,9176.714,14577
200901,8396.201,14375
200904,7992.121,14355.6
200907,8679.746,14402.5
200910,9857.344,14541.9
201001,10471.235,14604.8
201004,11052.148,14745.9
201007,10222.242,14845.5
201010,11044.485,14939
201101,11802.37,14881.3
201104,12434.877,14989.6
201107,12512.326,15021.1
201110,11515.931,15190.3
201201,12550.987,15291
201204,13030.754,15362.4
201207,12814.094,15380.8
201210,13380.645,15384.3
201301,13615.323,15491.9
201304,14675.909,15521.6
201307,15390.203,15641.3
201310,15289.291,15793.9
201401,16243.722,15747
201404,16399.502,15900.8
201407,16988.264,16094.5
201410,16701.871,16186.7
201501,17542.255,16269
201504,17970.513,16374.2
201507,17795.017,16454.9
201510,17182.282,16490.7
201601,16305.252,16525
201604,17844.366,16583.1
201607,18341.182,16727
201610,18184.546,16813.3
